Date,Vegetable_Name,Units,Market_Price,Retail_Price,Shoping_Mall_Price
1/26/2022,Onion Big,1kg,37,43 - 47,44 - 61
1/27/2022,Onion Big,1kg,37,43 - 47,44 - 61
1/28/2022,Onion Big,1kg,37,43 - 47,44 - 61
1/29/2022,Onion Big,1kg,37,43 - 47,44 - 61
1/30/2022,Onion Big,1kg,37,43 - 47,44 - 61
1/31/2022,Onion Big,1kg,37,43 - 47,44 - 61
2/1/2022,Onion Big,1kg,37,43 - 47,44 - 61
2/2/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/3/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/4/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/5/2022,Onion Big,1kg,33,38 - 42,40 - 54
2/6/2022,Onion Big,1kg,33,38 - 42,40 - 54
2/7/2022,Onion Big,1kg,33,38 - 42,40 - 54
2/8/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/9/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/10/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/11/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/12/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/13/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/14/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/15/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/16/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/17/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/18/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/19/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/20/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/21/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/22/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/23/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/24/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/25/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/26/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/27/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/28/2022,Onion Big,1kg,38,44 - 48,46 - 63
3/1/2022,Onion Big,1kg,38,44 - 48,46 - 63
3/2/2022,Onion Big,1kg,38,44 - 48,46 - 63
3/3/2022,Onion Big,1kg,38,44 - 48,46 - 63
