Date,Vegetable_Name,Units,Market_Price,Retail_Price,Shoping_Mall_Price
1/26/2022,Onion Big,1kg,34,39 - 43,41 - 56
1/27/2022,Onion Big,1kg,34,39 - 43,41 - 56
1/28/2022,Onion Big,1kg,39,45 - 50,47 - 64
1/29/2022,Onion Big,1kg,39,45 - 50,47 - 64
1/30/2022,Onion Big,1kg,36,41 - 46,43 - 59
1/31/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/1/2022,Onion Big,1kg,36,41 - 46,43 - 59
2/2/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/3/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/4/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/5/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/6/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/7/2022,Onion Big,1kg,38,44 - 48,46 - 63
2/8/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/9/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/10/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/11/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/12/2022,Onion Big,1kg,40,46 - 51,48 - 66
2/13/2022,Onion Big,1kg,40,46 - 51,48 - 66
2/14/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/15/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/16/2022,Onion Big,1kg,35,40 - 44,42 - 58
2/17/2022,Onion Big,1kg,33,38 - 42,40 - 54
2/18/2022,Onion Big,1kg,33,38 - 42,40 - 54
2/19/2022,Onion Big,1kg,33,38 - 42,40 - 54
2/20/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/21/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/22/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/23/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/24/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/25/2022,Onion Big,1kg,39,45 - 50,47 - 64
2/26/2022,Onion Big,1kg,37,43 - 47,44 - 61
2/27/2022,Onion Big,1kg,37,43 - 47,44 - 61
2/28/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/1/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/2/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/3/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/4/2022,Onion Big,1kg,39,45 - 50,47 - 64
3/5/2022,Onion Big,1kg,39,45 - 50,47 - 64
3/6/2022,Onion Big,1kg,39,45 - 50,47 - 64
3/7/2022,Onion Big,1kg,33,38 - 42,40 - 54
3/8/2022,Onion Big,1kg,33,38 - 42,40 - 54
3/9/2022,Onion Big,1kg,34,39 - 43,41 - 56
3/10/2022,Onion Big,1kg,34,39 - 43,41 - 56
3/11/2022,Onion Big,1kg,34,39 - 43,41 - 56
3/12/2022,Onion Big,1kg,34,39 - 43,41 - 56
3/13/2022,Onion Big,1kg,34,39 - 43,41 - 56
3/14/2022,Onion Big,1kg,40,46 - 51,48 - 66
3/15/2022,Onion Big,1kg,40,46 - 51,48 - 66
3/16/2022,Onion Big,1kg,40,46 - 51,48 - 66
3/17/2022,Onion Big,1kg,33,38 - 42,40 - 54
3/18/2022,Onion Big,1kg,33,38 - 42,40 - 54
3/19/2022,Onion Big,1kg,33,38 - 42,40 - 54
3/20/2022,Onion Big,1kg,33,38 - 42,40 - 54
3/21/2022,Onion Big,1kg,33,38 - 42,40 - 54
3/22/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/23/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/24/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/25/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/26/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/27/2022,Onion Big,1kg,37,43 - 47,44 - 61
3/28/2022,Onion Big,1kg,26,30 - 33,31 - 43
3/29/2022,Onion Big,1kg,26,30 - 33,31 - 43
3/30/2022,Onion Big,1kg,26,30 - 33,31 - 43
3/31/2022,Onion Big,1kg,26,30 - 33,31 - 43
4/1/2022,Onion Big,1kg,29,33 - 37,35 - 48
4/2/2022,Onion Big,1kg,29,33 - 37,35 - 48
4/3/2022,Onion Big,1kg,29,33 - 37,35 - 48
4/4/2022,Onion Big,1kg,25,29 - 32,30 - 41
4/5/2022,Onion Big,1kg,25,29 - 32,30 - 41
4/6/2022,Onion Big,1kg,25,29 - 32,30 - 41
4/7/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/8/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/9/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/10/2022,Onion Big,1kg,19,22 - 24,23 - 31
4/11/2022,Onion Big,1kg,19,22 - 24,23 - 31
4/12/2022,Onion Big,1kg,19,22 - 24,23 - 31
4/13/2022,Onion Big,1kg,20,23 - 25,24 - 33
4/14/2022,Onion Big,1kg,20,23 - 25,24 - 33
